songName,artistName,lyrics
On the Road to Home Sweet Home,"['Grand Dominion Jazz Band', 'Bob Jackson', 'Gerry Green', 'Jim Armstrong', 'Bob Pelland', 'Jim Marsh', 'Mike Duffy', 'Mike McCombe']",
You Don't Understand,"['Grand Dominion Jazz Band', 'Mike Duffy', 'Bob Jackson', 'Jim Armstrong', 'Steve Joseph', 'Bob Pelland', 'Gerry Green', 'Mike Cox']",
I'm Always Chasing Rainbows - Hazbin Hotel Version,['Sierra Nelson'],
Regretful Blues,"['Wilbur Sweatman', ""Wilbur Sweatman's Original Jazz Band""]",
Danny Boy,['The Irish Tenors'],
Love's Old Sweet Song,['John McCormack'],
Lucky Lindy,['Irving Kaufman'],
A Precious Little Thing Called Love,['Irving Kaufman'],
Masculine Women! Feminine Men!,['Irving Kaufman'],
Tonight's My Night With Baby,['Irving Kaufman'],
No Place Like Home (Columbia 2438) [Recorded 1917],['Bert Williams'],
Everything Is Peaches Down in Georgia,['Bob Schulz'],
I'd Like to Be a Monkey in the Zoo (Victor 45149) [Recorded 1917],['Francis White'],
"We Don't Want the Bacon, All We Want Is a Piece of the Rhine (Recorded 1918)",['The Peerless Quartet'],
You'll Be There (with Henry Burr) [Recorded 1916],['The Peerless Quartet'],
I May Stay a Little Longer (with Henry Burr) [Recorded 1918],['The Peerless Quartet'],
Cathedral Chimes,['Professional Sound Effects Group'],
A Little Bit of Sunshine,['Lone Man Extraordinary'],
Melody Lane,['Uncle Acid & The Deadbeats'],
Keep the Home Fires Burning,['John McCormack'],
Madelon,['Amparito Farrar'],
"There's a Long, Long Trail",['John McCormack'],
Yes Sir! That's My Baby,['Irving Kaufman'],
I'm Always Chasing Rainbows,['Charles Harrison'],
Livery Stable Blues,['Original Dixieland Jazz Band'],
Fancy You Fancying Me!,['The Savoy Quartet'],
Some Sunday Morning,['The Savoy Quartet'],
I Hate to Lose You,['The Savoy Quartet'],
Widows Are Wonderful,['The Savoy Quartet'],
American Fantasie No 1,['Jade Shames'],
"There's a Long, Long Trail",['John McCormack'],
Yes Sir! That's My Baby,['Irving Kaufman'],
I'm Always Chasing Rainbows,['Charles Harrison'],
Livery Stable Blues,['Original Dixieland Jazz Band'],
Fancy You Fancying Me!,['The Savoy Quartet'],
Some Sunday Morning,['The Savoy Quartet'],
I Hate to Lose You,['The Savoy Quartet'],
Widows Are Wonderful,['The Savoy Quartet'],
American Fantasie No 1,['Jade Shames'],
"There's a Long, Long Trail",['John McCormack'],
Yes Sir! That's My Baby,['Irving Kaufman'],
I'm Always Chasing Rainbows,['Charles Harrison'],
Livery Stable Blues,['Original Dixieland Jazz Band'],
Fancy You Fancying Me!,['The Savoy Quartet'],
Some Sunday Morning,['The Savoy Quartet'],
I Hate to Lose You,['The Savoy Quartet'],
Widows Are Wonderful,['The Savoy Quartet'],
American Fantasie No 1,['Jade Shames'],
